Person ID;Level;Current Potential;Code;Gender;Evaluation Statement;Evaluation Date;Evaluated by Code;Agreed By Code
00580346;5;D;E-CIE/S;M;Based on his international background 00580346 Flores has proven that he is an excellent contributor in various corporate and business roles and that he navigates smoothly in any diverse cultural context, embracing the value of multiple perspectives and experiences. For example, 00580346 has repeatedly adopted new roles, quickly contributing and taking over special tasks and challenges. Prior to joining corporate strategy team, 00580346 has ensured an active exchange with his predecessor with a keen interest to gather as many insights as possible. Due to this intense preparation, 00580346 covered the routine tasks very quickly and took up the lead role in the quarterly OD benchmark BoD paper with an impressing and recognized quality. 00580346’s openness to learn new topics and processes was reflected in the continued support of major corporate portfolio projects and he volunteered in activities beyond his role, e.g. BASF 4.0 activities. In his most recent assignment as a Product Manager for industrial specialties, 00580346 has proven that he is able to transfer the above-mentioned competencies also into a business role extremely quickly. In addition to the regular product management tasks, he has proactively developed a sound business plan for the part of his portfolio associated with the upcoming BASF Colors & Pigment carveout, becoming quickly accepted within the cross functional team. Taking over responsibility for additional product groups after 6 months, 00580346 has already proven in his first year in the current position that he can handle a far more significant business portfolio. However, with his brilliant intellectual capabilities and extremely fast thinking, he can sometimes be too fast for his coworkers and teammates in his daily communication. Nevertheless, 00580346 regularly requests feedback, and this should provide the necessary basis for him to adopt his communication more stringently to the affected audience, which will be important for a managerial role that is highly recommended as a next step.;18.05.2020;E-CIE;CI
00586882;5;D;G-CCP/O;M;Abe is a very mature professional and personality, who communicates effectively with all levels. He is comfortable with complex situations and has proven that he can drive sustainable solutions and deliver tangible results in first time situations within a short time. As such, he had a very successful first year as CI Manager in CCP/O. He lives the continuous improvement mindset and worked very hard to achieve the strategic goal to complete all CCC ATPs/ADPs by the end of 2019. For this, Abe dove into the topic to develop an execution strategy that uses available processes and documentation. He worked well with the business managers, supply chain and his team to be successful. He adapted the new process to deliver on the expectations of corporate departments, peers, colleagues and upper management. Abe continuously works to better understand the needs of his team and he coaches his team members for improved performance. Abe is actively asking for feedback, seeks coaching opportunities and strives to improve himself. He is analytically strong and has the great gift to explain difficult facts also to a non-expert audience. Abe is very customer oriented, is a good listener and helps others to reach their best potential.;24.04.2020;G-CCP;CC
00574743;5;D;PM/I;M;In his current role, Abu leads all central global PPA activities, implementing a global business case of a EUR 60m investment project. Abu prepared the investment decision and led the contract negotiations in a very professional manner. In this context, he also managed a variety of unplanned severe financial and scheduling challenges successfully. Abu is a creative entrepreneur with high people and customer focus. His open attitude and his eagerness to learn helps him in achieving his targets. Abu takes care to support his co-workers by individual coaching to further develop their skills. Abu is a dedicated and committed individual who is well capable to handle complex issues. In his role, he fully engages in his tasks and pulls his whole team in an extremely tight schedule and a very demanding scope. He has a person-oriented leadership style, leads his team in a passionate and authentic manner which motivates his team members to follow his passion to turn innovations into commercial success. Managing a team within a deep value chain in a broad network, Abu continues to adapt to the increasing demand of information sharing and to the need for attention to detail.;15.04.2020;PM/N;PM
00360306;5;D;A-CIA/S;M;00360306 took his first leadership role in June 2018, as Head of Marketing for Industrial & Specialty Amines (A-CIA). He embraced this change with high level of energy and engagement, played a vital role in implementing the new Amines SBU strategy and driving mindset change among the Product Manager and Sales community towards margin- and assets-focus. With his outstanding analytical and strategic competencies, as well as being highly entrepreneurial and out-spoken, 00360306 acts as a role model for the team to continuously challenge the status quo and push the boundaries. 00360306 sets high standard and ambitious targets for himself as well as for his team and spares no effort in achieving the desired outcome. In this process though, 00360306 could pay more attention to the emotional aspects of people around him. In his pursuit of performance, he shall not fall into the trap of losing people along the way. When 00360306 can demonstrate convincing people-orientation, his status of being “ready-now” shall be discussed.;15.06.2020;A-CIA;CI
00790206;5;D;CCM/R;M;00790206 is a very polished and mature professional with the ability to deal with rapid change and adversity as evidenced by his aptitude to quickly grasp a deep understanding of the challenges and opportunities within CCM/R. In his role as Global Product Manager, 00790206 has brought transparency on costs and margins to the organization, pricing strategies, new pricing tools and established a robust pricing governance process. He did this by taking an outside in view, by understanding our customer needs, our unique selling proposition as well as via strong collaboration with various teams across the global organization. One of 00790206’s strengths is the ability to leverage the overall organization to help bring results. He acts generously in giving support and help when needed, supports ideas of team members and promotes team successes. He is an effective listener and communicates with openness clarity and organizational awareness. 00790206 should continue to remain in his position and demonstrate his ability to make a sustainable impact which is visible. As a next step 00790206 could then be considered for a leadership position where he can develop as a leader in creating a vision and an inspirational environment.;17.06.2019;CCM/R;CC
00028646;5;E;GDF;M;"00028646 is ""the"" Expert within BASF for all Supply Chain Planning Processes. He strongly drives innovation in his area of expertise, taking customer requirements and best practices from in and outside BASF into consideration. He embraces new capabilities and technologies and actively drives digitization to develop ongoing sustainable solutions. He formed a highly motivated team of collaborating experts that jointly created the Detailed Planning & Scheduling Initiative in 2010 which continues until 2022. This initiative was very positively recognized by his clients across all regions and ran successfully over the last years creating significant business benefits for BASF. In 2015, the DP&S Initiative was awarded with the “BASF Supply Chain Award” and together with our partner E&Y the price for the best “Consulting Project of the Year 2015” by Wirtschaftswoche. In 2020 he and his team finalized the “New Planning Landscape” project, a thorough analysis of digital options with a clear guidance how to develop BASF’s Planning landscape for the decades to come. Together with his Production and Chemical Engineering knowledge and experience, 00028646 is also a key person to integrate Business Processes and Production Processes as part of BASF’s digital developments. He shows the capability to understand, design and manage the interfaces between functions in an integrated end to end view on processes. He is result driven and constantly delivers to promise.";10.06.2020;GBM/S;GBM
00597137;5;D;A-CIA;M;"00597137 has performed at a high level in his first leadership role and his first delegation. As the Process Manager in BPC BDO Complex, he has stepped into his first leadership role and immediately demonstrated ownership for the technical and personnel topics. At the time of his arrival the complex had just received ‘red’ responsible care audit which requires a re-audit within one year, he stepped into the coordinator role, developed the plan to address the deficiencies, continuously tracked and drove the implementation and delivered transparency to the management team of the progress. The resulting re-audit was a ‘green’. 00597137 is curious and driven towards continuous improvement, during the RC Audit preparation he was actively challenging internal processes and ensuring they were sustainable to maintain the required improvement. 00597137 has grown rapidly as a leader; he has been very effective in developing others and shown an empathy towards their individual situations. In this manner he has also developed himself where his focus has broadened to a wider perspective where he is driving improvement in others and the organization overall. 00597137 is result and goal oriented and manages stakeholders/network effectively to achieve his targets. When technical issues arise in BDO he utilizes his contacts in CIT directly, while keeping the RBU and BPC (including commercial contacts) well informed. An example of this is related to catalyst performance issues, possible catalyst poisoning and optimization of the plant. He is an excellent communicator and will flex his style and content based on the audience, from detailed discussions with content experts to executive summaries for higher management. Even though 00597137 does not have day to day responsibility for the production, he demonstrates full ownership for the topics. In a case of an underperforming Production Manager, 00597137 discussed with the Senior Manager and the GM actively proposed solutions and helped to drive a replacement. With the situation in BPC BDO primarily being focused on returning to sustainability, 00597137 has not had the opportunity to demonstrate his capability to drive Innovation. 00597137’s continued development would benefit from leading a larger team directly responsible for day to day production in his next step.";10.07.2020;A-CIA;CI
00601510;5;D;NA;M;"Bayo demonstrated considerable learning agility and leadership potential in both his prior role at EHS and the current NA staff role. He is keen to take on new challenges even if linked to new fields of expertise and sensibly reaches out to a network of leaders for guidance and coaching whenever needed. During his time with EHS he played a key role in the global community across a highly diverse and remote team and had been leading a team of regulation specialists before joining the staff role. More recently Bayo took over the overall implementation lead for project Darvac, a key initiative to make value chains more reliable across various business units. While clear commitment on the overall objective exists across all units the implementation has its own coordination challenges due to many connected sub-projects as well as conflicting targets with regards to capital prioritization. This challenge has been well addressed by Bayo as well as a recent deep-dive analysis on structural improvement needs at the Geismar site. His next role should bring Bayo closer to operations and prepare him for a bigger responsibility at our sites; a side-step into business management represents a viable alternative, too.";25.08.2020;NA;
00710665;5;D;RBW;F;"00710665 is a recognized expert in the field of industrial enzymes, demonstrated by a track record of scientific publications and successfully executed enzyme development projects. In addition, she is recognized outside BASF in the biotech/enzyme community, as can be seen by invitations as key note speaker and session convener at the most relevant enzyme conferences. Since the acquisition of Verenium, she is working in the BASF Enzyme Roadmap as key player for enzyme development, and more recently has established and led the Bioscience Customer Centricity team. 00710665 and her team are either leading or are directly involved in almost all development activities for the Growth Field enzymes. Most Research Project leads for all Enzyme Roadmap projects in BASF report directly to 00710665. She developed a very good network into various BASF units and is recognized as driving force and key contributor not only in Research and technology platforms, but also in all the business units she is working with. Since establishing the Bioscience Customer Centricity Team, 00710665 has increased the visibility and impact of Bioscience capabilities with strategic customers, customer networks and the Strategic Customer Outreach group in North America. She also works to create an entrepreneurial, start-up culture at BASF, most recently illustrated by her participation in the Start-up Panel at Inno>ent 2018. She is mentoring and coaching her team members well and has a well-differentiated way of developing the people in her team and also supports the development of others over-all at the San Diego site. In critical leadership situations, such as critical performance issues, she shows clear and strong action. 00710665 takes responsibility, ""takes the heat"" and works toward result-oriented solutions (as e.g. in discussions with business on directions of research projects). These communication skills and “personal presence” also enable 00710665 to successfully support BASF Corp. corporate activities (e.g. promoting customer centricity, diversity in BASF and BASF activities externally). In addition, she is involved in New Business Development activities of various BASF businesses and successfully represents BASF’s Bioscience technologies in discussions with strategic customers – demonstrating to customers a very strong technical value proposition of BASF in biosciences and innovation. 00710665 clearly expresses her ambition to lead, to shape and to take responsibility and accountability to develop and grow the Enzyme Roadmap, or other Biotech-related research areas in BASF. She is always and continuously working to improve her skillset to be able to achieve her goals and is eager for feedback and to get support from ""all experts in BASF"". As a developmental area, 00710665 could better learn to adopt her communication style to be more attuned to individuals’ needs and motivations.";05.11.2018;RB;
00693271;5;D;N-EDN/R;F;00693271 is a courageous and driven leader. She demonstrates high customer focus- striving to improve upon the customer experience while balancing the objectives and goals of BASF. 00693271 takes ownership and acts in order to achieve results - she is highly impact focused. However, she supports others development and flexes her leadership style from director to coach and back again well. In her current role of Director, Printing & Packaging, 00693271 is focusing on driving innovation to differentiate against competitors. She is guiding in her team in innovation planning via creation of innovation roadmaps for each sub-segment. Since taking on her new role, she has completely restructured her sales team (effectively managing out talent unable to keep up with the current business demands) and has built a highly energetic team focusing on growth.;10.01.2019;N-EDN;ED
